Running command: vulture C:\Users\System 8\FOD --min-confidence 60

C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:92: unused class '_TrivialRe' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:111: unused method 'spec_for_distutils' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:133: unused method 'create_module' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:152: unused method 'spec_for_pip' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:160: unused attribute 'spec_for_distutils' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:188: unused attribute 'spec_for_distutils' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\_distutils_hack\__init__.py:214: unused function 'add_shim' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:69: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:74: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:79: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:84: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:89: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:94: unused variable '__other' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\__init__.py:184: unused property '__is_annotated_types_grouped_metadata__' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\test_cases.py:21: unused variable 'valid_cases' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\annotated_types\test_cases.py:22: unused variable 'invalid_cases' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:294: unused attribute '_executor_shutdown_called' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1216: unused method 'connection_lost' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1224: unused method 'data_received' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1229: unused method 'eof_received' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1234: unused method 'pause_writing' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1237: unused method 'resume_writing' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1253: unused method 'connection_lost' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1257: unused method 'datagram_received' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1262: unused method 'error_received' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1265: unused method 'pause_writing' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1268: unused method 'resume_writing' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1446: unused method 'receive_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_asyncio.py:1485: unused method 'send_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_trio.py:358: unused class '_ProcessPoolShutdownInstrument' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_trio.py:363: unused variable 'current_default_worker_process_limiter' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_trio.py:391: unused method '_check_closed' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_trio.py:451: unused method 'receive_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_backends\_trio.py:484: unused method 'send_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_fileio.py:458: unused method 'is_relative_to' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_fileio.py:519: unused method 'hardlink_to' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_fileio.py:559: unused method 'is_mount' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_fileio.py:768: unused method 'with_stem' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_fileio.py:774: unused method 'with_segments' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_sockets.py:59: unused variable 'IPAddressFamily' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_sockets.py:821: unused variable 'flowinfo' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\_core\_synchronization.py:69: unused variable 'lock_statistics' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:191: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:208: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:225: unused method 'send_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:235: unused method 'receive_fds' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:253: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:297: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:327: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:356: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\abc\_sockets.py:386: unused method 'from_socket' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\from_thread.py:416: unused method 'wrap_async_context_manager' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\functools.py:65: unused variable 'misses' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\functools.py:67: unused variable 'currsize' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\functools.py:94: unused method 'cache_info' (60% confidence)
